produto,categoria,temp_min_suportada,temp_max_suportada,temp_ideal_min,temp_ideal_max,agua_necessaria_min,agua_necessaria_max,frequencia_irrigacao,clima_ideal,luz_solar_h_dia,chuva_ideal_min,chuva_ideal_max,vel_vento_max,umidade_ideal_min,umidade_ideal_max,nebulosidade_ideal,uv_ideal_min,uv_ideal_max,tempo_cultivo_min,tempo_cultivo_max,tempo_cultivo_unidade,solo_ideal,irrigacao_tipo_especial
Aveia,Cereais e Grãos,-5,25,10.0,18.0,300.0,500.0,Quinzenal,Subtropical/Temperado,7,350.0,500.0,50,60.0,75.0,Moderada,3.0,7.0,90.0,120.0,dias,"Franco, bem drenado, pH 5,5–7,0",
Cevada,Cereais e Grãos,-5,30,10.0,20.0,350.0,500.0,Quinzenal,Subtropical/Temperado,7,350.0,500.0,50,55.0,70.0,Moderada,4.0,8.0,90.0,120.0,dias,"Franco-argiloso, pH 6,0–7,5",
Girassol,Cereais e Grãos,5,40,18.0,25.0,400.0,600.0,Quinzenal,Tropical/Subtropical,9,400.0,600.0,50,40.0,60.0,Baixa,8.0,12.0,90.0,120.0,dias,"Franco, bem drenado, pH 5,8–7,0",
Amendoim,Cereais e Grãos,15,36,25.0,30.0,500.0,700.0,Quinzenal,Tropical/Subtropical,9,500.0,700.0,40,50.0,70.0,Baixa a moderada,8.0,12.0,90.0,110.0,dias,"Arenoso a Franco-arenoso, pH 5,5–6,5",
Milheto,Cereais e Grãos,10,42,25.0,35.0,250.0,500.0,Quinzenal–Mensal,Tropical/Semiárido,9,300.0,500.0,60,30.0,60.0,Baixa,8.0,12.0,60.0,80.0,dias,"Franco a arenoso, pH 5,0–8,0",
Centeio,Cereais e Grãos,-10,28,8.0,15.0,300.0,450.0,Quinzenal,Temperado,7,300.0,400.0,50,55.0,70.0,Moderada,3.0,6.0,100.0,130.0,dias,"Arenoso-franco, pH 5,0–7,0",
Alpiste,Cereais e Grãos,-5,30,10.0,20.0,300.0,450.0,Quinzenal,Temperado,7,350.0,450.0,40,55.0,70.0,Moderada,4.0,8.0,90.0,120.0,dias,"Franco-arenoso, bem drenado, pH 6,0–7,0",
Trigo Sarraceno,Cereais e Grãos,5,30,12.0,22.0,300.0,450.0,Quinzenal,Temperado,7,300.0,400.0,40,60.0,75.0,Moderada,4.0,8.0,70.0,90.0,dias,"Franco-arenoso, pH 5,5–7,0",
Gergelim,Cereais e Grãos,15,42,25.0,35.0,300.0,500.0,Quinzenal–Mensal,Tropical/Semiárido,9,300.0,500.0,60,40.0,60.0,Baixa,8.0,12.0,80.0,100.0,dias,"Arenoso-argiloso, bem drenado, pH 5,8–7,0",
Colza (Canola),Cereais e Grãos,-5,30,12.0,20.0,350.0,500.0,Quinzenal,Subtropical/Temperado,7,350.0,500.0,50,60.0,75.0,Moderada,4.0,8.0,100.0,120.0,dias,"Franco-argiloso, pH 6,0–7,5",
Batata-inglesa,Raízes e Tubérculos,4,30,15.0,20.0,500.0,700.0,Semanal,Subtropical/Temperado,8,500.0,700.0,40,70.0,80.0,Moderada,5.0,9.0,80.0,100.0,dias,"Franco-arenoso, pH 5,0–6,5",
Batata-doce,Raízes e Tubérculos,10,38,24.0,28.0,500.0,700.0,Quinzenal,Tropical/Subtropical,9,500.0,700.0,50,60.0,80.0,Moderada,6.0,12.0,90.0,120.0,dias,"Franco-arenoso, pH 5,5–7,0",
Mandioquinha-salsa,Raízes e Tubérculos,5,25,14.0,20.0,700.0,1200.0,Semanal,Subtropical/Temperado,7,800.0,1200.0,40,70.0,85.0,Moderada a alta,4.0,8.0,8.0,12.0,meses,"Franco, bem drenado, pH 5,5–6,5",
Cebola,Raízes e Tubérculos,5,35,13.0,24.0,300.0,500.0,Semanal,Subtropical,9,350.0,500.0,40,60.0,75.0,Baixa,6.0,10.0,90.0,120.0,dias,"Franco-argiloso, pH 6,0–7,0",
Alho,Raízes e Tubérculos,3,30,12.0,18.0,250.0,500.0,Semanal,Subtropical/Temperado,8,300.0,500.0,40,65.0,75.0,Moderada,5.0,9.0,120.0,180.0,dias,"Franco, bem drenado, pH 5,5–7,0",
Cará,Raízes e Tubérculos,15,38,25.0,30.0,1000.0,1500.0,Quinzenal,Tropical,7,1000.0,1500.0,40,70.0,80.0,Alta,6.0,10.0,8.0,10.0,meses,"Argiloso a Franco, pH 5,5–7,0",
Inhame,Raízes e Tubérculos,15,38,25.0,30.0,1000.0,1500.0,Quinzenal,Tropical,7,1000.0,1500.0,40,70.0,80.0,Alta,6.0,10.0,8.0,10.0,meses,"Argiloso a Franco, pH 5,5–7,0",
Gengibre,Raízes e Tubérculos,15,35,22.0,30.0,1200.0,2000.0,Semanal,Tropical,5,1200.0,2000.0,30,70.0,90.0,Alta,4.0,8.0,8.0,10.0,meses,"Franco-argiloso, pH 5,5–6,5",
Cúrcuma (Açafrão-da-terra),Raízes e Tubérculos,15,40,20.0,30.0,1200.0,2000.0,Semanal–Quinzenal,Tropical,6,1500.0,2000.0,30,70.0,90.0,Alta,6.0,10.0,7.0,9.0,meses,"Franco-argiloso, pH 4,5–7,5",
Banana,Frutas,10,42,25.0,30.0,1200.0,2500.0,Semanal,Tropical,8,1200.0,2500.0,40,75.0,85.0,Moderada,8.0,12.0,10.0,15.0,meses,"Franco-argiloso, pH 5,5–7,0",
Abacaxi,Frutas,15,38,22.0,30.0,500.0,800.0,Quinzenal–Mensal,Tropical,8,1000.0,1500.0,50,60.0,80.0,Baixa,8.0,12.0,14.0,20.0,meses,"Arenoso-argiloso, pH 4,5–5,5",
Café Arábica,Frutas,10,32,18.0,23.0,1200.0,1800.0,Quinzenal (seca),Subtropical,7,1200.0,1800.0,40,60.0,80.0,Moderada,6.0,10.0,2.0,3.0,anos,"Argiloso, bem drenado, pH 5,5–6,5",
Café Conilon,Frutas,15,38,22.0,28.0,1200.0,2000.0,Quinzenal (seca),Tropical,8,1200.0,2000.0,40,65.0,80.0,Moderada,8.0,12.0,2.0,3.0,anos,"Argiloso, bem drenado, pH 5,5–6,5",
Cacau,Frutas,15,38,21.0,28.0,1500.0,2500.0,Semanal (seca),Tropical,5,1500.0,2500.0,30,80.0,90.0,Alta,4.0,8.0,3.0,5.0,anos,"Franco-argiloso, pH 6,0–7,5",
Coco-da-baía,Frutas,18,42,27.0,30.0,1200.0,2500.0,Semanal–Quinzenal,Tropical,10,1200.0,2000.0,60,70.0,85.0,Baixa a moderada,8.0,12.0,5.0,6.0,anos,"Arenoso-argiloso, pH 5,5–8,0",
Uva,Frutas,-15,40,15.0,25.0,500.0,700.0,Semanal–Quinzenal,Subtropical/Mediterrâneo,9,500.0,800.0,50,60.0,75.0,Baixa,6.0,10.0,2.0,3.0,anos,"Franco-argiloso, pH 5,5–7,0",
Maçã,Frutas,-10,35,12.0,24.0,600.0,900.0,Semanal,Subtropical/Temperado,8,700.0,1200.0,50,65.0,80.0,Moderada,5.0,9.0,2.0,3.0,anos,"Franco, bem drenado, pH 6,0–7,0",
Maracujá,Frutas,10,38,20.0,30.0,800.0,1200.0,Semanal–Quinzenal,Tropical,8,900.0,1300.0,50,65.0,80.0,Moderada,8.0,12.0,8.0,18.0,meses,"Franco-argiloso, pH 5,5–7,0",
Manga,Frutas,10,42,24.0,27.0,700.0,1200.0,Quinzenal (seca),Tropical/Subtropical,10,900.0,1200.0,50,50.0,80.0,Baixa (floração),8.0,12.0,3.0,5.0,anos,"Franco-argiloso, bem drenado, pH 5,5–7,5",
Mamão,Frutas,15,40,21.0,33.0,800.0,1500.0,Semanal,Tropical,9,1000.0,2000.0,40,60.0,85.0,Moderada,8.0,12.0,8.0,15.0,meses,"Franco-arenoso, bem drenado, pH 5,5–7,0",
Limão,Frutas,5,40,24.0,30.0,800.0,1200.0,Semanal–Quinzenal,Tropical/Subtropical,9,900.0,1200.0,40,50.0,80.0,Moderada,6.0,10.0,3.0,5.0,anos,"Franco-argiloso, pH 5,5–7,0",
Melancia,Frutas,10,40,20.0,30.0,400.0,600.0,Semanal,Tropical/Subtropical,10,400.0,600.0,50,50.0,70.0,Baixa,8.0,12.0,70.0,90.0,dias,"Arenoso-franco, pH 5,5–7,0",
Melão,Frutas,10,40,18.0,30.0,400.0,600.0,Semanal,Tropical/Semiárido,10,400.0,600.0,50,50.0,70.0,Baixa,8.0,12.0,60.0,85.0,dias,"Arenoso-argiloso, pH 6,0–7,0",
Tangerina/Mexerica,Frutas,4,38,20.0,30.0,700.0,1200.0,Quinzenal,Subtropical/Tropical,8,700.0,1200.0,40,60.0,80.0,Moderada,6.0,10.0,3.0,5.0,anos,"Franco-argiloso, pH 5,5–7,0",
Abacate,Frutas,5,40,18.0,26.0,1000.0,1600.0,Quinzenal,Subtropical/Tropical,8,1000.0,1500.0,40,60.0,80.0,Moderada,6.0,10.0,4.0,7.0,anos,"Franco, bem drenado, pH 5,5–7,0",
Goiaba,Frutas,10,42,25.0,30.0,700.0,1200.0,Quinzenal,Tropical/Subtropical,9,800.0,1200.0,50,65.0,80.0,Moderada,8.0,12.0,2.0,4.0,anos,"Franco-argiloso, pH 5,5–7,5",
Caju,Frutas,15,42,24.0,32.0,600.0,1000.0,Quinzenal–Mensal (seca),Tropical,10,600.0,1000.0,50,50.0,80.0,Baixa (floração),8.0,12.0,3.0,5.0,anos,"Arenoso a Franco-arenoso, pH 4,5–6,5",
Açaí (Cultivado),Frutas,18,38,24.0,30.0,1500.0,3000.0,Semanal,Tropical (Amazônia),7,1500.0,3000.0,30,80.0,90.0,Alta,6.0,10.0,3.0,4.0,anos,"Aluvial/Várzea, pH 5,0–6,5",
Pêssego,Frutas,-10,38,15.0,25.0,600.0,900.0,Semanal–Quinzenal,Subtropical/Temperado,8,700.0,1000.0,50,60.0,75.0,Moderada,5.0,9.0,2.0,3.0,anos,"Franco, bem drenado, pH 6,0–7,5",
Pera,Frutas,-10,35,12.0,22.0,600.0,800.0,Quinzenal,Temperado/Subtropical,8,600.0,900.0,50,65.0,75.0,Moderada,5.0,9.0,3.0,5.0,anos,"Franco, profundo, pH 6,0–7,5",
Figo,Frutas,5,42,18.0,28.0,700.0,900.0,Quinzenal,Subtropical/Mediterrâneo,9,700.0,900.0,50,50.0,70.0,Baixa,7.0,11.0,2.0,3.0,anos,"Franco-argiloso, pH 6,0–8,0",
Caqui,Frutas,5,38,15.0,25.0,600.0,900.0,Quinzenal,Subtropical/Temperado,8,700.0,1000.0,50,65.0,80.0,Moderada,5.0,9.0,3.0,5.0,anos,"Franco-argiloso, pH 6,0–7,5",
Ameixa,Frutas,-10,38,15.0,24.0,500.0,800.0,Quinzenal,Subtropical/Temperado,8,600.0,900.0,50,60.0,75.0,Moderada,5.0,9.0,2.0,3.0,anos,"Franco, bem drenado, pH 6,0–7,5",
Morango,Frutas,5,30,15.0,22.0,400.0,600.0,Semanal (gotejamento),Subtropical/Temperado,8,600.0,900.0,30,70.0,80.0,Moderada,5.0,9.0,6.0,10.0,meses,"Franco-arenoso, pH 5,5–6,5",
Acerola,Frutas,15,40,20.0,30.0,700.0,1500.0,Quinzenal,Tropical/Subtropical,9,700.0,1200.0,50,60.0,80.0,Moderada,8.0,12.0,18.0,24.0,meses,"Franco-argiloso, pH 5,5–7,0",
Fruta-do-conde (Atemoia),Frutas,12,38,20.0,28.0,700.0,1200.0,Quinzenal,Tropical/Subtropical,9,700.0,1200.0,40,60.0,80.0,Baixa a moderada,6.0,12.0,2.0,3.0,anos,"Franco-argiloso, pH 5,5–7,5",
Cupuaçu,Frutas,18,36,24.0,28.0,1800.0,3000.0,Semanal,Tropical (Amazônia),5,1800.0,3000.0,20,75.0,90.0,Alta,4.0,8.0,3.0,4.0,anos,"Argiloso, pH 4,5–6,0",
Pitaya,Frutas,12,40,18.0,28.0,400.0,700.0,Quinzenal–Mensal,Tropical/Subtropical,10,400.0,700.0,50,50.0,70.0,Baixa,8.0,12.0,12.0,18.0,meses,"Franco-arenoso, pH 5,5–7,0",
Jabuticaba,Frutas,10,38,18.0,28.0,1200.0,1800.0,Quinzenal,Subtropical/Tropical,7,1200.0,1800.0,40,70.0,85.0,Moderada,6.0,10.0,7.0,15.0,anos,"Argiloso a Franco, pH 5,5–7,0",
Graviola,Frutas,15,40,22.0,30.0,1000.0,1800.0,Quinzenal,Tropical,9,1000.0,1800.0,40,70.0,85.0,Moderada,8.0,12.0,2.0,3.0,anos,"Franco-argiloso, pH 5,5–7,5",
Kiwi,Frutas,-5,35,12.0,20.0,600.0,900.0,Semanal,Subtropical/Temperado,8,700.0,1200.0,40,65.0,80.0,Moderada,5.0,9.0,3.0,5.0,anos,"Franco, profundo, pH 5,5–7,0",
Lichia,Frutas,10,38,20.0,28.0,1200.0,2000.0,Quinzenal,Subtropical/Tropical,9,1200.0,2000.0,40,70.0,85.0,Moderada,6.0,10.0,4.0,6.0,anos,"Franco-argiloso, pH 5,5–6,5",
Nectarina,Frutas,-10,38,15.0,25.0,500.0,800.0,Quinzenal,Subtropical/Temperado,8,600.0,900.0,50,60.0,75.0,Moderada,5.0,9.0,2.0,3.0,anos,"Franco, bem drenado, pH 6,0–7,5",
Romã,Frutas,5,45,18.0,28.0,400.0,700.0,Quinzenal–Mensal,Tropical/Mediterrâneo,10,400.0,700.0,60,40.0,65.0,Baixa,8.0,12.0,3.0,5.0,anos,"Franco-argiloso, pH 5,5–7,5",
Tamarindo,Frutas,15,42,24.0,35.0,400.0,600.0,Mensal (tolerante à seca),Tropical/Semiárido,10,400.0,600.0,60,40.0,65.0,Baixa,8.0,12.0,5.0,7.0,anos,"Franco-arenoso, pH 5,5–7,5",
Umbu,Frutas,10,42,20.0,32.0,300.0,700.0,Mensal (muito tolerante),Semiárido/Tropical,10,300.0,700.0,60,30.0,60.0,Baixa,8.0,12.0,4.0,6.0,anos,"Raso, arenoso, pH 5,0–7,0",
Cajá,Frutas,15,40,22.0,32.0,500.0,1200.0,Quinzenal–Mensal,Tropical/Semiárido,9,500.0,1200.0,50,50.0,75.0,Baixa a moderada,8.0,12.0,2.0,3.0,anos,"Franco-arenoso, pH 5,5–7,0",
Jaca,Frutas,15,42,24.0,30.0,1200.0,2000.0,Quinzenal,Tropical,8,1200.0,2000.0,40,70.0,85.0,Moderada,8.0,12.0,3.0,6.0,anos,"Franco-argiloso, pH 5,5–7,5",
Pequi,Frutas,15,40,22.0,30.0,700.0,1500.0,Mensal (nativa Cerrado),Tropical (Cerrado),9,700.0,1500.0,50,40.0,70.0,Baixa a moderada,8.0,12.0,10.0,15.0,anos,"Latossolo ácido, pH 4,5–6,5",
Castanha-do-pará,Frutas,20,38,25.0,30.0,1800.0,3000.0,Pluvial (floresta),Tropical (Amazônia),8,1800.0,3000.0,30,80.0,90.0,Alta,6.0,10.0,8.0,12.0,anos,"Argiloso profundo, pH 4,5–6,0",
Tomate,Hortaliças,10,38,18.0,27.0,400.0,600.0,Semanal (gotejamento),Subtropical/Tropical,8,400.0,600.0,30,60.0,70.0,Baixa a moderada,6.0,10.0,70.0,90.0,dias,"Franco-argiloso, pH 5,5–7,0",
Alface,Hortaliças,5,28,12.0,22.0,200.0,350.0,Semanal,Subtropical,7,300.0,500.0,25,65.0,80.0,Moderada,4.0,8.0,45.0,70.0,dias,"Franco, pH 6,0–7,0",
Brócolis,Hortaliças,5,25,12.0,20.0,350.0,500.0,Semanal,Subtropical/Temperado,7,400.0,600.0,30,65.0,80.0,Moderada,4.0,8.0,60.0,90.0,dias,"Franco-argiloso, pH 6,0–7,0",
Couve-flor,Hortaliças,5,28,12.0,20.0,350.0,500.0,Semanal,Subtropical/Temperado,7,400.0,600.0,30,65.0,80.0,Moderada,4.0,8.0,70.0,100.0,dias,"Franco-argiloso, pH 5,5–7,5",
Cenoura,Hortaliças,5,30,15.0,22.0,350.0,500.0,Semanal,Subtropical/Temperado,8,400.0,600.0,30,65.0,75.0,Moderada,5.0,9.0,80.0,120.0,dias,"Franco-arenoso, pH 5,5–7,0",
Repolho,Hortaliças,5,28,12.0,20.0,350.0,500.0,Semanal,Subtropical/Temperado,7,400.0,600.0,30,65.0,80.0,Moderada,4.0,8.0,60.0,90.0,dias,"Franco-argiloso, pH 6,0–7,5",
Beterraba,Hortaliças,5,30,15.0,22.0,350.0,500.0,Semanal,Subtropical/Temperado,7,400.0,600.0,30,65.0,75.0,Moderada,4.0,8.0,60.0,90.0,dias,"Franco, pH 6,0–7,5",
Pepino,Hortaliças,10,38,22.0,28.0,400.0,600.0,Semanal,Tropical/Subtropical,8,400.0,600.0,30,70.0,80.0,Moderada,6.0,10.0,45.0,60.0,dias,"Franco-argiloso, pH 5,5–7,0",
Pimentão,Hortaliças,10,36,20.0,28.0,400.0,700.0,Semanal,Tropical/Subtropical,8,500.0,700.0,30,60.0,75.0,Moderada,6.0,10.0,60.0,90.0,dias,"Franco-argiloso, pH 5,5–7,0",
Abobrinha,Hortaliças,10,38,20.0,28.0,400.0,600.0,Semanal,Tropical/Subtropical,9,400.0,600.0,30,60.0,75.0,Baixa,6.0,10.0,45.0,60.0,dias,"Franco, pH 5,5–7,0",
Abóbora,Hortaliças,10,40,18.0,28.0,400.0,700.0,Quinzenal,Tropical/Subtropical,8,500.0,800.0,50,50.0,75.0,Baixa,6.0,12.0,80.0,110.0,dias,"Franco-argiloso, pH 5,5–7,0",
Berinjela,Hortaliças,15,35,22.0,28.0,400.0,600.0,Semanal,Tropical/Subtropical,8,500.0,700.0,30,60.0,75.0,Moderada,6.0,10.0,60.0,80.0,dias,"Franco-argiloso, pH 5,5–6,8",
Espinafre,Hortaliças,0,24,10.0,20.0,200.0,350.0,Semanal,Temperado/Subtropical,6,300.0,500.0,25,65.0,80.0,Moderada a alta,3.0,7.0,40.0,50.0,dias,"Franco, pH 6,0–7,5",
Agrião,Hortaliças,5,25,14.0,20.0,,,Diária,Temperado/Subtropical,6,800.0,1500.0,20,75.0,90.0,Alta,3.0,7.0,40.0,60.0,dias,"Argiloso, margem de rios, pH 5,5–7,0",aquatico
Rabanete,Hortaliças,5,28,10.0,18.0,150.0,250.0,Semanal,Temperado/Subtropical,7,200.0,400.0,25,65.0,75.0,Moderada,4.0,8.0,25.0,35.0,dias,"Franco-arenoso, pH 5,5–7,0",
Acelga,Hortaliças,3,28,12.0,22.0,250.0,400.0,Semanal,Subtropical/Temperado,7,300.0,500.0,30,65.0,80.0,Moderada,4.0,8.0,50.0,70.0,dias,"Franco, pH 6,0–7,5",
Escarola,Hortaliças,5,25,12.0,20.0,250.0,400.0,Semanal,Subtropical/Temperado,7,300.0,500.0,25,65.0,80.0,Moderada,4.0,8.0,50.0,80.0,dias,"Franco, pH 5,5–7,0",
Couve,Hortaliças,5,32,15.0,25.0,300.0,500.0,Semanal,Subtropical/Tropical,7,400.0,600.0,30,65.0,80.0,Moderada,5.0,9.0,60.0,90.0,dias,"Franco-argiloso, pH 5,5–7,0",
Almeirão,Hortaliças,5,28,12.0,20.0,250.0,400.0,Semanal,Subtropical/Temperado,7,300.0,500.0,25,65.0,80.0,Moderada,4.0,8.0,40.0,60.0,dias,"Franco, pH 5,5–7,0",
Quiabo,Hortaliças,15,40,25.0,35.0,400.0,600.0,Semanal,Tropical,9,600.0,1000.0,50,60.0,75.0,Baixa,8.0,12.0,50.0,80.0,dias,"Franco-argiloso, pH 5,5–7,0",
Jiló,Hortaliças,15,38,20.0,30.0,400.0,600.0,Semanal,Tropical/Subtropical,8,500.0,700.0,40,60.0,75.0,Moderada,6.0,10.0,60.0,80.0,dias,"Franco-argiloso, pH 5,5–7,0",
Chicória,Hortaliças,5,28,12.0,20.0,250.0,400.0,Semanal,Subtropical/Temperado,7,300.0,500.0,25,65.0,80.0,Moderada,4.0,8.0,50.0,70.0,dias,"Franco, pH 5,5–7,0",
Salsa/Salsinha,Hortaliças,5,28,12.0,22.0,200.0,350.0,Semanal,Subtropical/Temperado,6,300.0,500.0,25,65.0,80.0,Moderada,4.0,8.0,60.0,90.0,dias,"Franco, pH 6,0–7,0",
Cebolinha,Hortaliças,5,32,15.0,25.0,200.0,350.0,Semanal,Subtropical/Tropical,7,300.0,500.0,25,65.0,80.0,Moderada,5.0,9.0,60.0,90.0,dias,"Franco, pH 6,0–7,0",
Coentro,Hortaliças,10,35,17.0,28.0,200.0,350.0,Semanal,Tropical/Subtropical,8,300.0,500.0,30,60.0,75.0,Moderada,6.0,10.0,35.0,45.0,dias,"Franco-arenoso, pH 5,5–7,5",
Manjericão,Hortaliças,10,38,18.0,28.0,250.0,400.0,Semanal,Tropical/Subtropical,8,400.0,600.0,30,60.0,75.0,Moderada,6.0,10.0,45.0,60.0,dias,"Franco, pH 5,5–7,5",
